"Date","Daily DD","Cumulative"
"05/20/2024","16","16"
"05/21/2024","19","35"
"05/22/2024","21","56"
"05/23/2024","23","80"
"05/24/2024","24","104"
"05/25/2024","23","127"
"05/26/2024","26","153"
"05/27/2024","22","175"
"05/28/2024","22","197"
"05/29/2024","17","214"
"05/30/2024","15","228"
"05/31/2024","14","242"
"06/01/2024","16","258"
"06/02/2024","17","274"
"06/03/2024","26","300"
"06/04/2024","24","324"
"06/05/2024","23","347"
"06/06/2024","27","373"
"06/07/2024","25","398"
"06/08/2024","19","417"
"06/09/2024","20","437"
"06/10/2024","17","453"
"06/11/2024","15","468"
"06/12/2024","17","486"
"06/13/2024","20","506"
"06/14/2024","27","533"
"06/15/2024","21","554"
"06/16/2024","20","574"
"06/17/2024","26","601"
"06/18/2024","29","629"
"06/19/2024","27","656"
"06/20/2024","26","682"
"06/21/2024","28","710"
"06/22/2024","33","743"
"06/23/2024","34","777"
"06/24/2024","25","802"
"06/25/2024","25","827"
"06/26/2024","33","859"
"06/27/2024","27","886"
"06/28/2024","22","908"
"06/29/2024","24","932"
"06/30/2024","30","962"
"07/01/2024","20","982"
"07/02/2024","22","1004"
"07/03/2024","21","1024"
"07/04/2024","28","1052"
"07/05/2024","34","1086"
"07/06/2024","36","1123"
"07/07/2024","34","1156"
"07/08/2024","32","1188"
"07/09/2024","33","1221"
"07/10/2024","35","1257"
"07/11/2024","28","1285"
"07/12/2024","25","1310"
"07/13/2024","32","1341"
"07/14/2024","33","1374"
"07/15/2024","34","1408"
"07/16/2024","34","1442"
"07/17/2024","33","1474"
"07/18/2024","26","1500"
"07/19/2024","25","1525"
"07/20/2024","25","1550"
"07/21/2024","27","1576"
"07/22/2024","26","1602"
"07/23/2024","27","1629"
"07/24/2024","27","1657"
"07/25/2024","28","1685"
"07/26/2024","23","1708"
"07/27/2024","26","1733"
"07/28/2024","24","1758"
"07/29/2024","26","1783"
"07/30/2024","30","1813"
"07/31/2024","31","1845"
"08/01/2024","33","1877"
"08/02/2024","35","1912"
"08/03/2024","29","1941"
"08/04/2024","28","1969"
"08/05/2024","31","1999"
"08/06/2024","30","2029"
"08/07/2024","25","2054"
"08/08/2024","23","2077"
"08/09/2024","30","2107"
"08/10/2024","28","2135"
"08/11/2024","23","2158"
"08/12/2024","20","2178"
"08/13/2024","21","2199"
"08/14/2024","25","2223"
"08/15/2024","24","2248"
"08/16/2024","24","2272"
"08/17/2024","22","2294"
"08/18/2024","25","2319"
"08/19/2024","25","2344"
"08/20/2024","13","2358"
"08/21/2024","13","2371"
"08/22/2024","15","2386"
"08/23/2024","17","2403"
"08/24/2024","19","2423"
"08/25/2024","23","2445"
"08/26/2024","25","2470"
"08/27/2024","25","2496"
"08/28/2024","32","2528"
"08/29/2024","25","2553"
"08/30/2024","20","2573"
"08/31/2024","24","2597"
"09/01/2024","27","2624"
"09/02/2024","20","2645"
"09/03/2024","14","2658"
"09/04/2024","14","2672"
"09/05/2024","15","2688"
"09/06/2024","18","2706"
"09/07/2024","16","2721"
"09/08/2024","11","2732"
"09/09/2024","11","2743"
"09/10/2024","18","2761"
"09/11/2024","17","2778"
"09/12/2024","19","2797"
"09/13/2024","21","2818"
"09/14/2024","20","2838"
"09/15/2024","17","2855"
"09/16/2024","17","2872"
"09/17/2024","22","2894"
"09/18/2024","21","2914"
"09/19/2024","24","2938"
"09/20/2024","21","2959"
"09/21/2024","22","2981"
"09/22/2024","20","3001"
"09/23/2024","13","3014"
"09/24/2024","14","3028"
"09/25/2024","15","3044"
"09/26/2024","23","3066"
"09/27/2024","20","3087"
"09/28/2024","20","3106"
"09/29/2024","14","3121"
"09/30/2024","16","3136"
"10/01/2024","16","3153"
