Experiment,Year,Date,Geographic.Location,Accession,Species,Plot.ID,Plant.Number,Plant.Age,Test.Type,Load.Cell.Height..m.,Operator,Raw.Data.Label,Raw.Slope.IMU..N.m...Calculated.from.Load.and.Unload.,Flexural.Rigidity..EI....IMU,PusherName,Additional.Notes,Publication.s.,TimeOfTesting
BMMB,2021,9/10/21,"Newark, DE",CML258,Maize,910,1,,A,0.54,JR,910_1_09_10_2021_12_32.xls,833.0564,43.7254643,,Week8,NA,12:32 PM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,1,,A,0.54,sas,910_1_09_27_2021_10_13.xlsx,1032.293,54.182995,,FinalTesting,NA,10:13 AM
BMMB,2021,9/10/21,"Newark, DE",CML258,Maize,910,2,,A,0.54,JR,910_2_09_10_2021_12_34.xls,228.078,11.9713581,,Week8,NA,12:34 PM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,2,,A,0.54,sas,910_2_09_27_2021_10_16.xls,516.6933,27.1201979,,FinalTesting,NA,10:16 AM
BMMB,2021,9/10/21,"Newark, DE",CML258,Maize,910,3,,A,0.54,JR,910_3_09_10_2021_12_36.xls,182.0641,9.55618048,,Week8,NA,12:36 PM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,3,,A,0.54,sas,910_3_09_27_2021_10_23.xls,218.2746,11.4567972,,FinalTesting,NA,10:23 AM
BMMB,2021,9/10/21,"Newark, DE",CML258,Maize,910,4,,A,0.54,JR,910_4_09_10_2021_12_38.xls,290.6405,15.2551386,,Week8,NA,12:38 PM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,4,,A,0.54,sas,910_4_09_27_2021_10_25.xls,848.6787,44.5454476,,FinalTesting,NA,10:25 AM
BMMB,2021,9/10/21,"Newark, DE",CML258,Maize,910,5,,A,0.54,JR,910_5_09_10_2021_12_40.xls,824.64298,43.2838607,,Week8,NA,12:40 PM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,5,,A,0.54,sas,910_5_09_27_2021_10_27.xls,1169.26,61.3721189,,FinalTesting,NA,10:27 AM
BMMB,2021,9/10/21,"Newark, DE",CML258,Maize,910,6,,A,0.54,JR,910_6_09_10_2021_12_43.xls,908.82394,47.702351,,Week8,NA,12:43 PM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,6,,A,0.54,sas,910_6_09_27_2021_10_30.xls,1053.246,55.282776,,FinalTesting,NA,10:30 AM
BMMB,2021,9/10/21,"Newark, DE",CML258,Maize,910,7,,A,0.54,JR,910_7_09_10_2021_12_45.xls,90.20809,4.73484223,,Week8,NA,12:45 PM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,7,,A,0.54,sas,910_7_09_27_2021_10_31.xls,189.37883,9.94011603,,FinalTesting,NA,10:31 AM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,9,,A,0.54,sas,910_9_09_27_2021_10_34.xls,924.3911,48.5194401,,FinalTesting,NA,10:34 AM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,10,,A,0.54,sas,910_10_09_27_2021_10_37.xls,1000.4435,52.5112784,,FinalTesting,NA,10:37 AM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,10,,A,0.54,sas,910_10_09_27_2021_10_38.xls,264.87128,13.9025637,,FinalTesting,NA,10:38 AM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,11,,A,0.54,sas,910_11_09_27_2021_10_41.xls,817.6233,42.9154118,,FinalTesting,NA,10:41 AM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,12,,A,0.54,sas,910_12_09_27_2021_10_43.xls,1082.7714,56.8325052,,FinalTesting,NA,10:43 AM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,13,,A,0.54,sas,910_13_09_27_2021_10_45.xls,1088.6333,57.1401847,,FinalTesting,NA,10:45 AM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,910,14,,A,0.54,sas,910_14_09_27_2021_10_47.xls,1012.0891,53.1225327,,FinalTesting,NA,10:47 AM
BMMB,2021,9/22/21,"Newark, DE",CML258,Maize,912,1,,A,0.54,JR,912_1_09_22_2021_12_31.xls,583.6386,30.6340228,,Week10,NA,12:31 PM
BMMB,2021,9/27/21,"Newark, DE",CML258,Maize,912,1,,A,0.54,sas,912_1_09_27_2021_10_50.xls,1012.0891,53.1225327,,FinalTesting,NA,10:50 AM
