Results Table 1
,Genotype,Plant Number,Plot Number,Whorl Number (use field-based numbering - top down),Root Sample Number,Vertical Specimen Diameter,Horizontal Specimen Diameter,Specimen Length,Force at Break (Standard),Displacement at Break (Standard),Flexure displacement at Break (Standard),Maximum Force,Flexure displacement at Maximum Force,Maximum Slope (Automatic)
,,,,,,(mm),(mm),(mm),(N),(mm),(mm),(N),(mm),(N/mm)
"1","B73","1","355","","","19.20","22.75","300.00","64.63","36.22","29.96","79.05","11.27","19.41"
"2","B73","2","355","","","17.34","20.49","300.00","48.17","36.55","29.87","68.32","12.23","14.95"
"3","B73","3","355","","","18.03","20.65","300.00","54.66","36.92","29.87","65.54","7.67","18.21"
"4","B73","4","355","","","18.75","22.43","300.00","82.98","17.72","10.94","82.98","10.94","17.66"
"5","B73","5","355","","","16.61","19.20","300.00","31.27","37.88","29.87","51.82","8.48","14.85"
"6","B73","6","355","","","17.11","21.04","300.00","44.00","16.69","8.81","44.00","8.81","9.74"
"7","B73","7","355","","","14.48","17.58","300.00","9.82","23.52","11.54","9.82","11.54","1.32"
"8","B73","8","355","","","17.36","21.30","300.00","61.72","18.87","11.24","64.37","10.91","13.55"
"9","B73","9","355","","","17.20","20.10","300.00","41.55","37.23","29.87","65.83","8.66","18.40"
"10","B73","10","355","","","16.88","20.57","300.00","36.57","37.87","29.87","62.72","12.11","13.99"
"11","B73","11","355","","","18.89","22.98","300.00","66.06","37.03","29.87","89.40","12.56","18.92"
"12","B73","12","355","","","20.00","23.54","300.00","92.41","34.46","30.00","92.41","30.00","14.24"
"13","Mo17","1","438","","","15.52","19.49","300.00","41.93","39.31","29.87","59.08","15.41","12.24"
"14","Mo17","2","438","","","15.24","19.93","300.00","69.12","39.62","30.00","69.12","30.00","7.97"
"15","Mo17","3","438","","","15.08","18.96","300.00","36.12","41.16","29.87","56.99","13.43","12.38"
"16","Mo17","4","438","","","12.64","15.52","300.00","25.16","43.63","30.00","25.16","30.00","2.41"
"17","Mo17","5","438","","","14.79","19.14","300.00","34.57","40.13","29.87","52.05","14.18","11.23"
"18","Mo17","6","438","","","15.26","20.22","300.00","52.53","39.30","29.87","67.36","16.28","13.61"
"19","Mo17","7","438","","","14.64","18.53","300.00","42.97","40.78","29.87","51.79","15.53","10.51"
"20","Mo17","8","438","","","16.78","20.40","300.00","51.08","40.02","29.87","72.34","12.26","16.40"
"21","Mo17","9","438","","","16.97","22.56","300.00","93.81","28.23","20.24","93.81","20.24","12.79"
"22","Mo17","10","438","","","13.26","16.25","300.00","20.46","41.99","29.87","31.35","20.27","4.73"
"23","Mo17","11","438","","","10.68","15.38","300.00","1.71","19.47","7.31","1.71","7.31","0.27"
"24","Mo17","1","440","","","16.98","21.19","300.00","100.63","39.13","29.87","103.30","25.25","14.43"
"25","Mo17","2","440","","","16.48","20.86","300.00","74.61","38.09","29.87","87.56","18.89","14.08"
"26","Mo17","3","440","","","14.52","17.73","300.00","38.17","43.68","29.87","47.48","16.28","8.19"
"27","Mo17","4","440","","","15.53","20.03","300.00","53.61","38.35","29.87","67.83","11.54","15.07"
"28","Mo17","5","440","","","15.28","19.04","300.00","59.79","39.80","29.87","69.61","14.27","13.11"
"29","Mo17","6","440","","","16.77","20.78","300.00","75.45","32.30","23.39","75.45","23.39","9.83"
"30","Mo17","7","440","","","15.64","20.45","300.00","68.11","38.71","29.87","72.12","19.34","13.06"
"31","Mo17","8","440","","","13.07","15.29","300.00","31.14","33.74","19.31","31.14","19.31","4.30"
"32","Mo17","9","440","","","16.19","20.66","300.00","75.37","38.86","29.87","92.70","15.26","17.53"
"33","Mo17","10","440","","","15.11","19.70","300.00","56.71","38.84","29.87","68.50","15.23","13.27"
"34","B73","1","353","","","20.10","24.35","300.00","82.10","35.42","29.93","103.57","11.33","26.23"
"35","B73","2","353","","","19.50","21.96","300.00","72.70","36.19","30.00","98.49","9.44","27.55"
"36","B73","3","353","","","19.35","23.91","300.00","77.85","34.83","29.87","94.71","8.30","26.34"
"37","B73","4","353","","","19.21","22.53","300.00","73.31","34.92","30.00","85.94","8.27","24.61"
"38","B73","5","353","","","17.70","20.84","300.00","54.50","36.60","30.00","71.28","8.66","20.42"
"39","B73","6","353","","","18.61","22.07","300.00","55.60","35.93","29.87","97.14","10.19","24.91"
"40","B73","7","353","","","19.14","21.66","300.00","79.24","37.56","29.87","100.07","9.74","24.56"
"41","B73","8","353","","","17.32","20.06","300.00","38.52","37.44","29.87","73.23","12.35","18.62"
"42","B73","9","353","","","20.16","22.94","300.00","91.15","35.10","29.87","104.08","9.53","28.55"

1,Time,Displacement,Force,Flexure displacement
,(s),(mm),(N),(mm)
"","0.0000","6.2527","0.2257","0.0000"
"","0.0200","6.2529","0.2333","0.0002"
"","0.0400","6.2577","0.3479","0.0050"
"","0.0600","6.2779","0.7454","0.0252"
"","0.0800","6.3117","1.4187","0.0590"
"","0.1000","6.3464","2.1428","0.0937"
"","0.1200","6.3765","2.7755","0.1238"
"","0.1400","6.4044","3.3778","0.1516"
"","0.1600","6.4322","4.0030","0.1795"
"","0.1800","6.4609","4.6510","0.2082"
"","0.2000","6.4903","5.3205","0.2375"
"","0.2200","6.5196","5.9877","0.2669"
"","0.2400","6.5489","6.6509","0.2962"
"","0.2600","6.5786","7.3288","0.3259"
"","0.2800","6.6086","8.0191","0.3558"
"","0.3000","6.6382","8.6995","0.3854"
"","0.3200","6.6678","9.3811","0.4151"
"","0.3400","6.6975","10.0594","0.4448"
"","0.3600","6.7271","10.7349","0.4744"
"","0.3800","6.7569","11.4158","0.5042"
"","0.4000","6.7871","12.0958","0.5344"
"","0.4200","6.8173","12.7621","0.5646"
"","0.4400","6.8468","13.4057","0.5940"
"","0.4600","6.8764","14.0507","0.6237"
"","0.4800","6.9071","14.7126","0.6544"
"","0.5000","6.9375","15.3540","0.6847"
"","0.5200","6.9670","15.9635","0.7142"
"","0.5400","6.9964","16.5779","0.7437"
"","0.5600","7.0260","17.1946","0.7733"
"","0.5800","7.0556","17.8096","0.8029"
"","0.6000","7.0858","18.4290","0.8331"
"","0.6200","7.1161","19.0460","0.8634"
"","0.6400","7.1459","19.6521","0.8932"
"","0.6600","7.1758","20.2564","0.9231"
"","0.6800","7.2060","20.8597","0.9533"
"","0.7000","7.2363","21.4591","0.9836"
"","0.7200","7.2665","22.0442","1.0137"
"","0.7400","7.2962","22.6143","1.0435"
"","0.7600","7.3256","23.1609","1.0729"
"","0.7800","7.3550","23.7037","1.1023"
"","0.8000","7.3852","24.2571","1.1325"
"","0.8200","7.4156","24.7954","1.1628"
"","0.8400","7.4455","25.3203","1.1927"
"","0.8600","7.4752","25.8536","1.2224"
"","0.8800","7.5054","26.4107","1.2526"
"","0.9000","7.5358","26.9669","1.2831"
"","0.9200","7.5660","27.5044","1.3133"
"","0.9400","7.5963","28.0329","1.3436"
"","0.9600","7.6261","28.5452","1.3733"
"","0.9800","7.6555","29.0520","1.4028"
"","1.0000","7.6853","29.5600","1.4326"
"","1.0200","7.7157","30.0839","1.4630"
"","1.0400","7.7461","30.6042","1.4934"
"","1.0600","7.7759","31.1073","1.5232"
"","1.0800","7.8056","31.6064","1.5528"
"","1.1000","7.8355","32.1156","1.5828"
"","1.1200","7.8659","32.6396","1.6132"
"","1.1400","7.8964","33.1600","1.6437"
"","1.1600","7.9264","33.6591","1.6737"
"","1.1800","7.9559","34.1423","1.7032"
"","1.2000","7.9856","34.6280","1.7329"
"","1.2200","8.0159","35.1260","1.7632"
"","1.2400","8.0461","35.6188","1.7934"
"","1.2600","8.0764","36.1101","1.8237"
"","1.2800","8.1063","36.5817","1.8536"
"","1.3000","8.1359","37.0425","1.8831"
"","1.3200","8.1658","37.5107","1.9131"
"","1.3400","8.1961","37.9801","1.9434"
"","1.3600","8.2265","38.4394","1.9738"
"","1.3800","8.2563","38.8749","2.0036"
"","1.4000","8.2860","39.3172","2.0332"
"","1.4200","8.3161","39.7663","2.0633"
"","1.4400","8.3463","40.2091","2.0935"
"","1.4600","8.3764","40.6464","2.1237"
"","1.4800","8.4061","41.0741","2.1534"
"","1.5000","8.4355","41.5023","2.1828"
"","1.5200","8.4656","41.9504","2.2129"
"","1.5400","8.4964","42.4022","2.2437"
"","1.5600","8.5266","42.8245","2.2739"
"","1.5800","8.5560","43.2215","2.3033"
"","1.6000","8.5856","43.6224","2.3329"
"","1.6200","8.6158","44.0341","2.3631"
"","1.6400","8.6461","44.4454","2.3933"
"","1.6600","8.6759","44.8365","2.4232"
"","1.6800","8.7056","45.2172","2.4528"
"","1.7000","8.7352","45.5998","2.4825"
"","1.7200","8.7652","45.9854","2.5125"
"","1.7400","8.7958","46.3759","2.5431"
"","1.7600","8.8263","46.7502","2.5735"
"","1.7800","8.8561","47.1033","2.6033"
"","1.8000","8.8858","47.4519","2.6331"
"","1.8200","8.9156","47.8015","2.6629"
"","1.8400","8.9455","48.1443","2.6928"
"","1.8600","8.9754","48.4897","2.7227"
"","1.8800","9.0055","48.8394","2.7528"
"","1.9000","9.0355","49.1835","2.7827"
"","1.9200","9.0656","49.5273","2.8128"
"","1.9400","9.0960","49.8727","2.8432"
"","1.9600","9.1260","50.1988","2.8733"
"","1.9800","9.1557","50.5014","2.9030"
