Results Table 1
,Genotype,Plant Number,Plot Number,Whorl Number (use field-based numbering - top down),Root Sample Number,Vertical Specimen Diameter,Horizontal Specimen Diameter,Specimen Length,Force at Break (Standard),Displacement at Break (Standard),Flexure displacement at Break (Standard),Maximum Force,Flexure displacement at Maximum Force,Maximum Slope (Automatic)
,,,,,,(mm),(mm),(mm),(N),(mm),(mm),(N),(mm),(N/mm)
"1","B73","6","351","","","19.40","22.69","300.00","61.92","33.87","29.87","133.95","8.33","38.12"
"2","B73","2","351","","","17.91","21.52","300.00","48.20","36.83","29.87","96.99","7.97","30.21"
"3","B73","3","351","","","19.91","22.32","300.00","59.92","35.11","29.88","116.91","7.32","37.10"
"4","B73","10","351","","","20.22","23.30","300.00","67.63","34.95","29.87","123.79","9.08","36.01"
"5","B73","5","351","","","21.79","25.54","300.00","99.59","33.22","29.87","177.09","8.36","46.88"
"6","B73","7","351","","","20.97","24.86","300.00","87.48","34.21","29.87","149.41","9.17","41.50"
"7","B73","1","351","","","21.00","23.48","300.00","94.62","34.71","30.00","120.87","10.22","31.84"
"8","B73","4","351","","","20.34","23.78","300.00","66.10","34.24","29.87","133.64","7.25","38.37"
"9","CML258","1","222","","","21.23","24.33","300.00","97.40","32.40","29.36","129.52","23.78","18.11"
"10","CML258","4","222","","","21.39","24.34","300.00","117.30","33.37","30.00","117.30","30.00","18.89"
"11","CML258","7","222","","","18.25","20.58","300.00","59.35","36.07","29.87","72.34","12.77","14.61"
"12","CML258","8","222","","","22.41","26.70","300.00","134.29","32.81","30.00","136.16","28.58","24.55"
"13","CML258","9","222","","","22.30","26.68","300.00","135.58","31.08","30.00","140.87","9.33","33.74"
"14","CML258","10","222","","","23.52","26.21","300.00","165.50","32.41","30.00","167.09","26.42","23.71"
"15","CML258","4","224","","","21.20","24.05","300.00","117.47","26.47","21.75","121.12","15.72","18.62"
"16","CML258","5","224","","","20.31","23.69","300.00","100.89","33.83","30.00","101.10","26.87","18.83"
"17","CML258","7","224","","","20.27","22.62","300.00","86.92","35.22","30.00","86.92","30.00","15.53"
"18","CML258","8","224","","","21.90","25.64","300.00","119.10","32.79","30.00","135.17","9.41","32.01"
"19","CML258","9","224","","","20.44","22.04","300.00","96.62","25.80","20.93","97.37","16.76","18.44"
"20","CML258","11","224","","","21.72","25.21","300.00","118.48","32.28","30.00","132.09","6.81","35.26"
"21","B73","5","349","","","22.44","26.92","300.00","89.54","32.36","29.85","176.18","8.16","47.76"
"22","B73","8","349","","","22.49","26.93","300.00","104.36","32.59","29.88","189.09","8.85","51.22"
"23","B73","4","349","","","18.63","22.07","300.00","50.36","36.27","29.87","104.21","8.21","28.19"
"24","B73","6","349","","","22.59","28.16","300.00","102.78","33.17","29.85","190.14","10.05","51.74"
"25","B73","7","349","","","22.01","26.90","300.00","91.06","33.85","29.87","177.16","7.94","52.05"
"26","B73","2","349","","","20.67","23.90","300.00","79.32","34.41","29.87","151.28","8.45","44.60"
"27","MO17","5","442","","","19.05","24.26","300.00","122.59","35.97","29.87","141.80","11.51","34.73"
"28","MO17","7","442","","","15.24","19.18","300.00","48.73","38.83","29.88","75.51","10.26","20.28"
"29","MO17","3","442","","","15.56","20.36","300.00","39.77","39.54","29.87","61.65","11.69","14.84"
"30","MO17","6","442","","","16.09","20.70","300.00","84.46","37.37","29.87","99.10","15.50","21.49"
"31","MO17","2","442","","","15.82","20.03","300.00","57.99","38.37","29.85","101.06","10.44","25.75"
"32","MO17","1","442","","","15.75","20.35","300.00","101.45","39.42","29.90","103.88","16.19","21.64"
"33","MO17","8","442","","","14.68","19.08","300.00","37.24","39.79","29.87","72.59","9.05","17.91"
"34","MO17","8","444","","","17.76","22.49","300.00","127.31","36.73","29.87","134.68","12.11","30.89"
"35","MO17","10","444","","","15.43","19.06","300.00","49.18","40.77","29.87","77.07","10.43","20.65"
"36","MO17","2","444","","","16.45","21.38","300.00","68.41","38.10","29.87","96.93","12.89","23.98"
"37","MO17","4","444","","","16.85","21.17","300.00","96.38","40.11","29.87","112.00","11.84","24.50"
"38","MO17","3","444","","","16.06","20.69","300.00","77.21","38.66","29.88","98.46","10.53","27.25"
"39","MO17","7","444","","","14.78","18.84","300.00","48.19","41.76","29.87","76.74","10.40","17.92"
"40","MO17","1","444","","","17.82","23.69","300.00","113.76","37.07","29.87","138.18","11.33","34.12"
"41","MO17","5","444","","","11.89","14.93","300.00","14.55","42.97","29.87","36.60","10.91","6.85"
"42","MO17","9","444","","","16.84","22.47","300.00","109.15","39.26","29.87","129.20","12.86","27.02"
"43","MO17","6","444","","","15.58","20.28","300.00","80.00","39.35","29.88","101.21","11.37","24.37"

1,Time,Displacement,Force,Flexure displacement
,(s),(mm),(N),(mm)
"","0.0000","3.9968","0.1635","0.0000"
"","0.0200","3.9970","0.1675","0.0001"
"","0.0400","4.0007","0.2907","0.0038"
"","0.0600","4.0175","0.7625","0.0207"
"","0.0800","4.0487","1.2801","0.0518"
"","0.1000","4.0836","1.7344","0.0868"
"","0.1200","4.1153","2.5628","0.1184"
"","0.1400","4.1437","3.1545","0.1468"
"","0.1600","4.1715","3.3461","0.1746"
"","0.1800","4.2002","3.5051","0.2034"
"","0.2000","4.2294","3.8898","0.2326"
"","0.2200","4.2591","4.5532","0.2622"
"","0.2400","4.2889","5.2418","0.2920"
"","0.2600","4.3188","6.1489","0.3219"
"","0.2800","4.3478","7.2554","0.3509"
"","0.3000","4.3765","8.4566","0.3796"
"","0.3200","4.4061","9.7144","0.4093"
"","0.3400","4.4364","11.0102","0.4395"
"","0.3600","4.4665","12.3186","0.4697"
"","0.3800","4.4966","13.6100","0.4998"
"","0.4000","4.5264","14.8991","0.5296"
"","0.4200","4.5560","16.2009","0.5591"
"","0.4400","4.5862","17.5395","0.5893"
"","0.4600","4.6163","18.8529","0.6194"
"","0.4800","4.6456","20.0955","0.6487"
"","0.5000","4.6751","21.3458","0.6782"
"","0.5200","4.7054","22.6207","0.7086"
"","0.5400","4.7359","23.8340","0.7390"
"","0.5600","4.7659","24.9881","0.7690"
"","0.5800","4.7957","26.1651","0.7989"
"","0.6000","4.8256","27.3601","0.8288"
"","0.6200","4.8554","28.5581","0.8585"
"","0.6400","4.8856","29.7722","0.8887"
"","0.6600","4.9159","30.9702","0.9191"
"","0.6800","4.9458","32.1164","0.9490"
"","0.7000","4.9753","33.2284","0.9785"
"","0.7200","5.0051","34.3445","1.0082"
"","0.7400","5.0349","35.4550","1.0380"
"","0.7600","5.0648","36.5795","1.0680"
"","0.7800","5.0956","37.7262","1.0987"
"","0.8000","5.1260","38.8090","1.1292"
"","0.8200","5.1559","39.8364","1.1590"
"","0.8400","5.1857","40.8893","1.1888"
"","0.8600","5.2157","41.9679","1.2188"
"","0.8800","5.2455","43.0309","1.2486"
"","0.9000","5.2749","44.0607","1.2781"
"","0.9200","5.3046","45.0727","1.3078"
"","0.9400","5.3346","46.0587","1.3377"
"","0.9600","5.3649","47.0462","1.3681"
"","0.9800","5.3954","48.0257","1.3986"
"","1.0000","5.4258","48.9845","1.4289"
"","1.0200","5.4555","49.9337","1.4587"
"","1.0400","5.4852","50.9020","1.4884"
"","1.0600","5.5155","51.8849","1.5186"
"","1.0800","5.5456","52.8021","1.5487"
"","1.1000","5.5755","53.6759","1.5786"
"","1.1200","5.6050","54.5202","1.6082"
"","1.1400","5.6345","55.3685","1.6376"
"","1.1600","5.6647","56.2786","1.6678"
"","1.1800","5.6954","57.2161","1.6985"
"","1.2000","5.7257","58.1058","1.7288"
"","1.2200","5.7555","58.9680","1.7586"
"","1.2400","5.7850","59.8228","1.7882"
"","1.2600","5.8144","60.6383","1.8175"
"","1.2800","5.8439","61.4620","1.8470"
"","1.3000","5.8743","62.2922","1.8774"
"","1.3200","5.9048","63.0574","1.9079"
"","1.3400","5.9351","63.8523","1.9383"
"","1.3600","5.9657","64.7142","1.9688"
"","1.3800","5.9963","65.5928","1.9995"
"","1.4000","6.0267","66.4191","2.0298"
"","1.4200","6.0564","67.1997","2.0595"
"","1.4400","6.0859","67.9999","2.0891"
"","1.4600","6.1158","68.8278","2.1189"
"","1.4800","6.1459","69.6715","2.1490"
"","1.5000","6.1759","70.5211","2.1791"
"","1.5200","6.2057","71.3424","2.2089"
"","1.5400","6.2351","72.1347","2.2382"
"","1.5600","6.2649","72.9236","2.2680"
"","1.5800","6.2953","73.7031","2.2984"
"","1.6000","6.3256","74.4567","2.3287"
"","1.6200","6.3558","75.2236","2.3590"
"","1.6400","6.3864","75.9979","2.3895"
"","1.6600","6.4165","76.7620","2.4196"
"","1.6800","6.4458","77.5102","2.4489"
"","1.7000","6.4751","78.2549","2.4782"
"","1.7200","6.5052","79.0230","2.5084"
"","1.7400","6.5352","79.7631","2.5384"
"","1.7600","6.5650","80.4894","2.5682"
"","1.7800","6.5956","81.2657","2.5988"
"","1.8000","6.6260","82.0383","2.6291"
"","1.8200","6.6557","82.7569","2.6589"
"","1.8400","6.6854","83.4807","2.6885"
"","1.8600","6.7152","84.2324","2.7183"
"","1.8800","6.7452","84.9805","2.7483"
"","1.9000","6.7755","85.6997","2.7787"
"","1.9200","6.8059","86.3287","2.8090"
"","1.9400","6.8356","86.6953","2.8388"
"","1.9600","6.8652","87.1144","2.8684"
"","1.9800","6.8951","87.7085","2.8982"
"","2.0000","6.9252","88.4057","2.9284"
"","2.0200","6.9555","89.1335","2.9586"
"","2.0400","6.9858","89.8698","2.9890"
"","2.0600","7.0157","90.5619","3.0188"
"","2.0800","7.0452","91.2379","3.0483"
"","2.1000","7.0752","91.9482","3.0783"
"","2.1200","7.1056","92.6739","3.1087"
"","2.1400","7.1353","93.3455","3.1385"
"","2.1600","7.1647","93.9806","3.1679"
"","2.1800","7.1950","94.5463","3.1981"
"","2.2000","7.2255","95.0521","3.2287"
"","2.2200","7.2551","95.5920","3.2582"
"","2.2400","7.2847","96.2196","3.2879"
"","2.2600","7.3148","96.9073","3.3180"
"","2.2800","7.3451","97.5924","3.3482"
"","2.3000","7.3754","98.2668","3.3786"
"","2.3200","7.4059","98.9316","3.4091"
"","2.3400","7.4361","99.5649","3.4392"
"","2.3600","7.4654","100.1445","3.4686"
"","2.3800","7.4950","100.6155","3.4982"
"","2.4000","7.5251","101.0929","3.5283"
"","2.4200","7.5550","101.6288","3.5582"
"","2.4400","7.5854","102.2335","3.5885"
"","2.4600","7.6160","102.7650","3.6191"
"","2.4800","7.6460","103.1688","3.6492"
"","2.5000","7.6757","103.6139","3.6789"
"","2.5200","7.7061","104.1746","3.7092"
"","2.5400","7.7363","104.7557","3.7394"
"","2.5600","7.7659","105.2860","3.7690"
"","2.5800","7.7955","105.8007","3.7986"
"","2.6000","7.8255","106.3447","3.8286"
"","2.6200","7.8557","106.8764","3.8588"
"","2.6400","7.8857","107.3583","3.8888"
"","2.6600","7.9158","107.7374","3.9189"
"","2.6800","7.9456","108.0767","3.9488"
"","2.7000","7.9755","108.4701","3.9786"
"","2.7200","8.0055","108.9374","4.0087"
"","2.7400","8.0354","109.4338","4.0386"
"","2.7600","8.0657","109.9396","4.0688"
"","2.7800","8.0958","110.4133","4.0989"
